exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
6094;91.79;15.7771;8.7863;0;0.1786617441469541;0.3392870875511828;0.4810231990465406;0.6054259481706652;0.7392258822939908;0.8382429877919372;0.9043757431640918;0.9516173359365556;0.9799567874016968;0.9899483268315744
6095;82.0724;16.3375;4.84465;0;0.1786616334579652;0.3392827234851039;0.4810489880946144;0.6218145827616941;0.7464882606990183;0.8315587990081114;0.8977059690460284;0.9449430004458664;0.9732996439754926;0.9832867988953228
6096;91.6349;17.8004;12.4476;0;0.1786617019640692;0.3392880419596301;0.4811534562583989;0.5922434300705305;0.8368547243430502;0.9361039816495412;1.002361363980466;1.049616154469907;1.077958695295627;1.087946346618294
6097;87.1926;7.15549;13.8123;0;0.1786617626542123;0.3392860316990528;0.4810249019871322;0.6102137332053359;0.7131734088436087;0.7921894595664457;0.8583715533653312;0.9056196723905018;0.9339623260156196;0.9439531412635638
6098;82.7952;7.40369;10.2267;0;0.1786618418599608;0.3392908292180009;0.4810057014882004;0.608499960159462;0.7080121558029051;0.7918414862606705;0.8580016309064834;0.9052438400875744;0.933587161965738;0.9435779770144456
6099;94.8576;11.0002;11.3989;0;0.178667385333978;0.3392771362107691;0.4810302080364048;0.6049564125320996;0.7142945555109846;0.7970652737658939;0.8632787108200882;0.9105179347352886;0.9388573806925846;0.9488489205936418
6100;80.5953;14.3323;9.28805;0;0.1786674013223639;0.3392758984516684;0.4810683277218968;0.6192829921741252;0.7373487116359351;0.8230331849199994;0.8891709845124449;0.9364127774855034;0.964752187870389;0.9747437279268414
6101;97.7517;9.84353;12.2161;0;0.1786621271875689;0.3392971723738093;0.4810195694009124;0.6043041886102177;0.7153492704430261;0.7931379887720464;0.8592014546401173;0.906455044819465;0.9347983901000728;0.9447892042926458
6102;80.8862;5.45148;9.14749;0;0.1786617733572042;0.3392856481053154;0.4810021261703588;0.6100449082533372;0.7139505647607129;0.7985005540397578;0.8646622633328119;0.9119031163120248;0.9402464470790142;0.9502372613900698
6103;89.4433;8.49401;6.84851;0;0.178662144267359;0.339294985499826;0.4810194165090352;0.6042905786945652;0.7080118686634499;0.7916097112695137;0.8577614967432083;0.9050121212888186;0.9333554908549538;0.9433463043789918
