exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
2359;42.8586;6.62948;0.;0.178616;0.343785;0.483541;0.604971;0.708944;0.793982;0.860126;0.907368;0.935707;0.945699
2360;50.0125;15.7635;0.;0.178679;0.350255;0.533845;0.673228;0.777162;0.8622;0.928344;0.975586;1.00392;1.01392
2361;11.8474;13.4502;-0.00000000000000000693889;0.199371;0.372801;0.514508;0.637335;0.741278;0.826317;0.892461;0.939703;0.968042;0.978034
2362;159.99;12.2434;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.79283;0.858879;0.911515;0.938147;0.948472
2363;29.5604;12.6149;-0.0000000000000000416334;0.185926;0.353058;0.501553;0.624341;0.728287;0.813325;0.879469;0.926711;0.95505;0.965042
2364;123.285;11.3041;0.;0.178667;0.339277;0.481023;0.603857;0.707769;0.798889;0.862236;0.910008;0.938339;0.94833
2365;185.37;13.6202;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858965;0.906192;0.937104;0.94261
2366;17.3554;17.7048;0.;0.276982;0.528217;0.669937;0.792774;0.89672;0.981759;1.0479;1.09514;1.12348;1.13347
2367;12.5831;7.33441;0.;0.183212;0.338141;0.479885;0.602715;0.706661;0.7917;0.857843;0.905085;0.933424;0.943416
2368;61.8143;2.99651;0.0000000000000000138778;0.178642;0.33933;0.499048;0.641683;0.745807;0.830831;0.896981;0.944222;0.972565;0.982556
2369;84.8115;11.0248;0.;0.178667;0.339276;0.480999;0.61006;0.711506;0.797178;0.863313;0.910564;0.938903;0.948894
2370;89.7775;8.39424;0.;0.178662;0.339286;0.48102;0.605573;0.70969;0.791212;0.857374;0.904625;0.932968;0.942959
2371;87.8811;10.946;0.;0.178667;0.339277;0.481014;0.608158;0.711106;0.796728;0.862857;0.910107;0.938446;0.948438
2372;184.623;14.3333;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858965;0.906177;0.93679;0.943701
2373;42.4206;13.6304;0.;0.178723;0.356501;0.510685;0.635303;0.739224;0.824263;0.890406;0.937648;0.965988;0.975979
2374;136.02;13.2329;0.;0.178667;0.339277;0.481011;0.603843;0.707784;0.792931;0.865607;0.916754;0.945189;0.955173
2375;11.3722;15.8562;0.;0.239975;0.426799;0.568535;0.69136;0.795306;0.880345;0.946489;0.99373;1.02207;1.03206
2376;47.0091;14.7705;0.;0.178663;0.357637;0.522937;0.652691;0.756594;0.841633;0.907776;0.955018;0.983357;0.993349
2377;26.7645;16.5999;0.;0.212113;0.445608;0.590604;0.713449;0.817395;0.902434;0.968577;1.01582;1.04416;1.05415
2378;157.935;9.12396;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792816;0.859193;0.911627;0.93421;0.944131
2379;15.0923;10.2223;0.00000000000000000693889;0.18377;0.341441;0.483191;0.606016;0.709962;0.795001;0.861145;0.908387;0.936726;0.946718
2380;59.0559;12.7838;0.;0.178662;0.339546;0.492839;0.622028;0.726484;0.811512;0.877655;0.924897;0.953237;0.963228
2381;92.2014;16.8697;0.;0.178662;0.339287;0.481054;0.603221;0.762125;0.868935;0.935114;0.982345;1.0107;1.02069
2382;95.4435;16.2118;0.;0.178662;0.339287;0.481028;0.60352;0.736053;0.850048;0.916229;0.963464;0.99182;1.00181
2383;76.1856;3.09783;0.0000000000000000138778;0.178635;0.339256;0.482052;0.62752;0.739837;0.824825;0.890974;0.938215;0.966567;0.976528
2384;189.999;16.1456;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858964;0.906264;0.929394;0.937328
2385;42.7195;10.9824;0.;0.178687;0.346888;0.486127;0.60953;0.713466;0.798504;0.864648;0.91189;0.940229;0.950221
2386;86.9863;4.66076;0.;0.178662;0.339297;0.480998;0.607862;0.720242;0.803895;0.870062;0.917313;0.945665;0.955626
2387;45.4217;5.75593;0.;0.178645;0.343142;0.488793;0.60958;0.713561;0.798599;0.864743;0.911985;0.940324;0.950316
2388;151.792;14.1146;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792839;0.859575;0.912472;0.9464;0.956393
2389;115.261;11.8683;0.;0.178667;0.339277;0.481023;0.603861;0.708297;0.79872;0.865396;0.912696;0.941033;0.951024
2390;17.3819;12.1479;-0.0000000000000000277556;0.189901;0.355933;0.497957;0.620776;0.724723;0.809761;0.875905;0.923147;0.951486;0.961478
2391;64.9519;7.8692;0.;0.178668;0.339278;0.484449;0.603896;0.70601;0.791078;0.857228;0.904469;0.932812;0.942803
2392;111.672;7.3949;0.;0.178662;0.339297;0.48101;0.60384;0.708913;0.796593;0.858241;0.905507;0.93385;0.943841
2393;159.996;2.04876;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792825;0.859183;0.918145;0.955436;0.965489
2394;185.338;14.2635;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858965;0.906201;0.936545;0.942787
2395;84.7568;10.6778;0.;0.178667;0.339277;0.481014;0.609646;0.710384;0.795717;0.861857;0.909107;0.937446;0.947438
2396;17.6735;4.40029;0.;0.19562;0.360914;0.502423;0.625264;0.729208;0.814247;0.88039;0.927632;0.955971;0.965963
2397;95.5258;4.3769;0.00000000000000000693889;0.178635;0.33928;0.481005;0.604393;0.720183;0.805337;0.871419;0.918662;0.947006;0.956997
2398;65.8182;4.50587;0.;0.178638;0.339259;0.486579;0.619563;0.722402;0.807454;0.873592;0.920843;0.949186;0.959177
2399;34.3769;12.9999;-0.0000000000000000138778;0.180746;0.352856;0.505406;0.628295;0.732237;0.817276;0.883419;0.930661;0.959001;0.968992
2400;130.985;9.89486;0.;0.178662;0.339295;0.48101;0.603855;0.707786;0.794534;0.861526;0.906421;0.934769;0.94476
2401;157.053;2.76798;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792815;0.859492;0.916668;0.948116;0.958057
2402;151.825;14.5268;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792842;0.859483;0.913558;0.948575;0.958537
2403;131.753;6.00081;0.;0.178662;0.339295;0.48101;0.603854;0.707784;0.794131;0.864463;0.908077;0.936435;0.946427
2404;125.558;11.4559;0.;0.178667;0.339277;0.481023;0.603858;0.707778;0.798101;0.862308;0.910407;0.938734;0.948725
2405;11.0573;6.70477;0.;0.184164;0.340282;0.482046;0.604879;0.708826;0.793865;0.860008;0.90725;0.935589;0.945581
2406;109.798;13.9846;0.;0.178667;0.339277;0.481023;0.603858;0.712576;0.806557;0.879984;0.927199;0.955538;0.965529
2407;84.8269;9.28114;0.;0.178662;0.339288;0.481016;0.608261;0.707769;0.791896;0.858048;0.905298;0.933641;0.943632
2408;37.8391;6.27339;0.;0.178486;0.34665;0.484229;0.606737;0.710687;0.795726;0.861869;0.909111;0.937451;0.947442
2409;159.809;4.01468;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792825;0.859151;0.912438;0.940796;0.950576
